CLE;TRADUCTION
EMAIL_ERROR;"Veuillez saisir votre adresse "
EMAIL_FOR_LOGIN;"Adresse "
EMAIL_SUBSCRIBER_REMOVED;Désolé
EMBARGO_PLD_LEGEND;Prochainement
EMISSION;Emission
ENCADRE;Framed
End;End
"End hour";"End time"
END_DATE_VIEWING;"End showing date"
ENERGIE;Energy
ENERGIE_FRONT;Energy
ENQUIRY_FORM_BLOC_A_LABEL;"ENQUIRY_FORM_BLOC_A_LABEL - N/A"
ENQUIRY_FORM_BLOC_B_LABEL;"ENQUIRY_FORM_BLOC_B_LABEL - N/A"
ENQUIRY_FORM_BLOC_C_LABEL;"ENQUIRY_FORM_BLOC_C_LABEL - N/A"
ENQUIRY_FORM_BLOC_D_LABEL;"ENQUIRY_FORM_BLOC_D_LABEL - N/A"
ENQUIRY_FORM_BLOC_E_LABEL;"ENQUIRY_FORM_BLOC_E_LABEL - N/A"
ENQUIRY_FORM_BLOC_F_LABEL;"ENQUIRY_FORM_BLOC_F_LABEL - N/A"
ENQUIRY_LINK;"ENQUIRY_LINK - N/A"
Entete;Header
ERREUR_SITE_NON_CONFORME;"Ce fichier n’as pas été généré à partir de ce site. Veuillez sélectionner un autre fichier."
ERROR;error
ERROR_POS_DENIED_ACCESS;"Vous devez "
ETAT;State
EVENT_TAB;Ev
EXCLUDING_VAT;"Hors TVA"
EXPIRATION;Expiry
EXPLOITATION;Exploitation
EXPORT;Export
EXPORTER;Exporter
EXPORT_TRAD_FO;Exporter
FAQ;Q&R
FAQ_RUBRIQUE_LABEL;Rubrique
FAQ_RUBRIQUE_PICTO;"Picto de rubrique"
Fax;Fax
FEATURE;Feature
"Featured Links";Liens
FEATURE_TYPE;"Type of feature"
FERMER;Fermer
FICHIERS;Files
FICHIER_IMPORT;"Fichier import (format attendu xml)"
FICHIER_IMPORT_OBLIGATOIRE;"Fichier import obligatoire"
FILE_BYTE;o
FILE_FULL_BYTE;byte(s)
FILTER;Filtrer
FILTER_TYPE_1;"Filter type 1"
FILTER_TYPE_2;"Filter type 2"
FIL_DARIANE_HOME;breadcrum
FIND_ARCHIVED_PRODUCTS;"Rechercher des produits archiv"
FIRST_NAME;Firstname
FIRST_NAME_ERROR;"Veuillez saisir votre pr"
FIRST_TIME_DELIVERY;"FIRST_TIME_DELIVERY - N/A"
FLASH;Flash
FOCUS_AREA;"Domaines d'int"
Fonction;Function
"Fonctionality type";"Type of functionality"
Fonctionnalite;Functionality
FONCTIONNALITES;Fonctionnalit
Fonctionnalities;Features
FONCTIONS;Functions
FOOTER;Footer
FORGOT_PASSWORD;"Mot de passe oubli"
FORGOT_PASSWORD_ERROR_EMAIL_TEXT;"Adresse "
FORGOT_PASSWORD_ERROR_PWD_TEXT;"message d'erreur pour formulaire oubli mot de passe"
FORGOT_PASSWORD_LABEL;"Mot de passe oubli"
FORGOT_PASSWORD_TEXT_PRESENTATION_STEP1;"Saisissez votre adresse "
FORGOT_PASSWORD_TEXT_PRESENTATION_STEP2;"Un message "
FORGOT_PASSWORD_TEXT_PRESENTATION_STEP3;"Pour r"
FORMAT_ATTENDU;"Format :"
FORMAT_DATE;"Date format"
FORM_BUTTON_ADD;Add
FORM_BUTTON_ADD_MULTI;"Add a"
FORM_BUTTON_ADD_VALUE;"Add a value"
FORM_BUTTON_BACK;"Go back"
FORM_BUTTON_COLOR;"Background color"
FORM_BUTTON_CONSULT;View
FORM_BUTTON_COPY;Clone
FORM_BUTTON_DELETE;Delete
FORM_BUTTON_EDIT;Edit
FORM_BUTTON_EDITOR;"Launch the online editor"
FORM_BUTTON_FILE_DELETE;Delete
FORM_BUTTON_FILE_SELECT;"Select a file"
FORM_BUTTON_FILE_VIEW;"Preview the file"
FORM_BUTTON_IMG_SELECT;"Select an image"
FORM_BUTTON_IMG_TITLE;Preview
FORM_BUTTON_LINK_SELECT;"Select a link"
FORM_BUTTON_PREVIEW;Preview
FORM_BUTTON_SAVE;Save
FORM_BUTTON_SEARCH;Search
FORM_BUTTON_SELECT;Select
FORM_CTA;CTA
FORM_DISPLAY_ORDER;"Ordre d'affichage"
FORM_FAQ_CAT;"Catégorie de FAQ"
FORM_FAQ_RUB;"Rubrique de FAQ"
FORM_FILL;"Please fill"
FORM_KEY_POINT;"Point fort"
FORM_LABEL;Label
FORM_LINK_LABEL;"Libellé du lien"
FORM_LINK_URL;"Url du lien"
FORM_MAP_ADD;"Modify the ImageMap"
FORM_MOST_WANTED_QUESTIONS;"Questions les plus posées"
FORM_MSG_ALPHANUM;"a text with only letters and numbers"
FORM_MSG_CONFIRM_DEL;"Do you confirm this deletion ?"
FORM_MSG_DATE;"a valid date (MM/DD/YYYY)"
FORM_MSG_DATE_EDITION;"a valid editorial date (MM/JJ/AAAA, AAAA/MM ou AAAA)"
FORM_MSG_ERROR_HIERARCHY_PAGE_LANG;"You need to save parent page in this language first."
FORM_MSG_HEURE;"a valid hour (hh:mn))"
FORM_MSG_LIMIT_1;"You cannot type more than"
FORM_MSG_LIMIT_2;"characters for"
FORM_MSG_LIST_AVAILABLE;"Available values"
FORM_MSG_LIST_SELECTED;"Selected values"
FORM_MSG_MAIL;"a valid email address"
FORM_MSG_NUMBER;"an integer value"
FORM_MSG_REAL;"a numeric value"
FORM_MSG_TELEPHONE;"a valid phone number"
FORM_MSG_URL;"a valid internet address (http://... or https://...)"
FORM_MSG_VALUE_CHOOSE;"Please choose a value for"
FORM_MSG_VALUE_CONTENT;"Please type a content for"
FORM_MSG_VALUE_FILE;"Please choose a file for"
FORM_MSG_VALUE_REQUIRE;"Please type a value for"
FORM_MSG_WITH;with
FORM_MSG_YEAR;"a year with 4 numbers"
FORM_MSG_YES;yes
FORM_NOT_PUBLISHED;"non publié"
FORM_PUBLISHED;Publié
FORM_RESPONSE;Réponse
FORM_SELECT_CHOOSE;"-> Choose"
FORM_TITLE_LIST;"Titre de la liste"
FORM_VISUAL;Visual
"Frame type";"Type of box"
FRANCAIS;French
"Free content";"Free content"
"Free/public package";"Free Package / public"
FRIEND_SEND_ICONE;"Friend send icon"
Front;Front
FRONT_PATH;"FO Path"
FUSEAU;Timezone
"Gabarit Mobile";"Mobile template"
"Gabarit Web";"Web template"
GABARITS;Gabarits
GABARIT_HIDDEN;"Hidden template"
GABARIT_UNIQUE;"Unique template"
GAMME;Gamme
GAMME_BUSINESS;"Gamme business"
GAMME_LIGNE_C;"Ligne C"
GAMME_LIGNE_C_FO;"LA LIGNE C"
GAMME_LIGNE_DS;"Ligne DS"
GAMME_LIGNE_DS_FO;"LA LIGNE DS"
GAMME_VEHICULE_UTILITAIRE;"Véhicules utilitaire"
GAMME_VEHICULE_UTILITAIRE_FO;"VÉHICULES UTILITAIRES"
GAUCHE;Left
GENERAL;G
GENERAL_SETTINGS;"General settings"
GENERATION;G
Geolocation;Geolocation
GESTION;Gestion
GESTION_DES_TAGS;"Gestion des tags"
GESTION_DES_URLS;URLs
GESTION_MODE;"Display mode"
"Global parameters";"General Settings"
GLOBAL_PAGE;-General-
GLOSSARY;Glossaire
GOOGLE_ANALYTICS;"Google analytics"
GRIS;Grey
Groupe;Group
GROUPES_DE_RESEAUX_SOCIAUX;"Groupe de réseaux sociaux"
"Has list";"Affichage en liste"
HEADER;Header
HIDDEN;Hidden
HIDE;Hidden
"Hide when add";"Hide the addition"
HIDE_LAYOUT;"Hidden template"
HIDE_WHILE_VIEW;"Hide when add"
HIGH_RESOLUTION;"Haute r"
HORIZONTAL_VIEW_BO;"Horizontal view (BO)"
HOUR_FORMAT_LABEL;hh:mm
HTML;html
Icon;Icon
icone;Icon
ID;ID
Identifiant;Identifiant
Identifier;"ID is"
ID_COMPTE;"User id"
"Iframe zone";Iframe
IFRAME_MOBILE;"Iframe available for mobile"
IFRAME_NON_DISPO;"This content is not available on the mobile version, please consult the web version"
IMAGE;Image
IMAGE;Image
"Image link";"Image link"
"Image originale";"Original image"
"Image position";"Image position"
IMAGES;Pictures
IMAGE_FOND_GENERALE;"General background image"
IMAGE_GAMME;Image
IMAGE_MOBILE;"Mobile image"
IMAGE_PDV;Image
IMAGE_WEB;"Web image"
IMG_CHANGE_MAIL_SAVE_NEW_EMAIL_BUTTON;"Enregistrer nouvelle adresse "
IMG_DOWNLOAD_ALL_BUTTON;T
IMG_DOWNLOAD_SELECTED_ITEMS_BUTTON;T
IMG_FORGOT_PASSWORD_SAVE_NEW_PASSWORD_BUTTON;"Enregistrer le nouveau mot de passe"
IMG_FORGOT_PASSWORD_SEND_BUTTON;Envoyer
IMG_LOGIN_BUTTON;Connexion
IMG_REGISTER_BUTTON;"Inscrivez-vous !"
IMG_REGISTRATION_BUTTON;S'inscrire
IMG_SAVE_CHANGES_BUTTON;"Sauvegarder les changements"
IMG_SEARCH_BUTTON;Rechercher
IMG_SEND_ENQUIRY_BUTTON;"Envoyer la demande"
IMG_SEND_REQUEST_BUTTON;"Envoyer la demande"
IMG_TAKE_TOUR_BUTTON;"Regarder la pr"
IMG_TOP_CAT_BUTTON;N
IMG_TOP_PRODUCT_BUTTON;"Nous recommandons"
IMG_WE_RECOMMEND_BUTTON;
IMPORT;Import
IMPORTER;Importer
IMPORT_TRAD_FO;Importer
IMPORT___EXPORT;"Import / export"
"In home";"Home page"
"In page";"In the section"
Indexer;Indexer
"Info external links";"(=> For external links, type 'http://' before the link)"
Informations;Information
INTERNAL_CONTACT_SOCIETY;"INTERNAL_CONTACT_SOCIETY - N/A"
INTRO;Introduction
IN_THE_RUBRIQUE;"In the topic"
IN_THE_SEARCH;"In the search de JACKADI"
ITEM_REQUESTED;El
"Javascript a inclure";"Javascript to include"
KEY_WORDS;Keywords
"la date de publication";"la date de publication"
LABEL;Label
"Label (saction)";"Text (action)"
"Label (state)";"Text (status)"
LABEL_FILE_TRAD_FO;Fichier
LABEL_TRAD_LANG_FO;Langue
LABEL_TRANSLATE;Traduction
LANGS;Langs
LANGUAGE;Langue
Languages;Languages
"Langue source";"Source language"
LANGUETTE;Tab
LANGUETTE;Tab
LANGUE_CIBLE;"Target language"
LANGUE_OBLIGATOIRE;"Langue obligatoire"
LANGUE_SOURCE;"Langue source"
LANGUE_SOURCE_OBLIGATOIRE;"Langue source obligatoire"
LANG_EN;Anglais
LANG_FR;French
LANG_LIST;"Liste des langues"
LANG_LIST_MASTER;"Languages list"
LARGEUR;Width
"Last articles";"Les derniers articles"
LAST_NAME;Nom
LAST_NAME_ERROR;"Veuillez saisir votre nom"
LAYOUT;Template
"Layout type";"Type template"
LAYOUT_SHORTCUT;Shortcut
LCDV_CODE;"Code LCDV"
"le QR Code";"le QR Code"
LEADS;Leads
LEARN_MORE;"Pour en savoir plus"
"Left label";"Wording left"
LEGENDE;"Legend (alt)"
"les commentaires";"les commentaires"
"les partages sociaux";"les partages sociaux"
"les tags";"les tags"
Levels;Levels
LIBELLE;Libelle
LIBELLE_BOUTON_VALIDATION;Link
LIBELLE_INTERNE;"Internal label"
LIBELLE_LANGUETTE;Label
LIBELLE_lIEN;"Link label"
LIB_HOME;"Home label"
LIB_PLAN_SITE;"Sitemap label"
LIB_SEARCH;"Search label"
LIEN;Link
LIEN_COMPLET;"Full link"
LIEN_MOBILE;"Mobile url"
LIEN_PAGE_MENTION;"Link terms of use page"
LIEN_SIMPLE;"Simple link"
LIEN_WEB;"Web url"
LIGNE_C;"C Ligne"
LIGNE_DS;"DS Ligne"
LINK;"Lien internet"
"Linked page";"Section membership"
LINK_LABEL;"language link"
LINK_PARAMETER;"Url parameter"
Liste;List
LOCKED_RECORD;"This record is locked for editing by:"
LOGIN;Logins
"Login previsu";"Preview login"
LOGIN_ERROR_NOT_EXIST;"Mauvais login/mot de passe"
Logo;Logo
LOGOUT;D
LONG_ADDRESS;"Real address"
LONG_TITLE;"Long title"
"Lost password";"Forgot your password?"
LOT_SIZES;"LOT_SIZES - N/A"
LOW_RESOLUTION;"Basse r"
l_auteur;l'auteur
MAIL_APPROVAL_REQUEST_BODY;"Vous avez re"
MAIL_APPROVAL_REQUEST_SUBJECT;"Votre approbation est requise"
"Main text";"Main text"
MAIN_RUBRIQUE;"Main topic"
MAIN_URLS;"Main URL"
MANAGE_TITLE;"Manage title"
Map;Cartographie
"Map provider";Cartographie
MASQUER;Hide
MAX_TRIES;"Number of tentative date."
MEDIA;Media
"Media type";"Media types"
"Media utilisé par un contenu";"Media use by content"
MEDIATHEQUE;M
MEDIA_TYPES;"Media types"
MEDIUM_RESOLUTION;"Moyenne r"
"Menu properties";"Menu properties"
MESSAGE;Message
"Meta description";"Description (Meta)"
"Meta keywords";"Keywords (Meta)"
"Meta title";"Title (Meta)"
Metier;Job
MIGRATION_CHOOSE;Choisir
Minisite;Minisite
MIN_TWO_COL;"Two column is needed to display the bloc"
Miscellaneous;Various
MOBILE;Mobile
MODERATION;Mod
