"Cl&eacute; de traduction",Traduction
POS_SHOP_CONTENT_REGISTERED_ERROR,"Sie haben den folgenden Gegenstand dieses Quartal bereits bestellt: ##CONTENT_REGISTERED##"
POS_SHOP_FTP_ERROR,"-sample - POS_SHOP_FTP_ERROR bla bla POS_SHOP_FTP_ERROR"
POS_SHOP_NB_ORDER_EXCEEDED_ERROR,"Mit diesem Account haben Sie bereits ##NB_ORDER_REGISTERED## Gegenstände bestellt. Mit dieser Bestellung überschreiten Sie Ihr Limit von ##NB_ORDER_MAX## Bestellungen pro Trimester."
PRESS_ARTICLES_TAB,Presseartikel
PRESS_ARTICLE_MEDIA_ONLINE,Online
PRESS_ARTICLE_MEDIA_PRINT,Print
PRESS_ARTICLE_MEDIA_RADIO,Radio
PRESS_ARTICLE_MEDIA_TV,TV
PRESS_RELEASES_TAB,Presseinformationen
PRICE,Preis
PRINT_PAGE,"Seite drucken"
PRODUCTS,Produkte
PRODUCT_ARCHIVED,"Dieses Produkt wurde dem Archiv hinzugefügt. Für weitere Informationen, bitte kontaktieren Sie uns"
PRODUCT_COLOR_COLLECTION,Farbekollection
PRODUCT_DATASHEETS_AND_CERTIFICATES,"Datenblätter und Zertifikate"
PRODUCT_DATA_SHEET,Datenblatt
PRODUCT_DESCRIPTION,Beschreibung
PRODUCT_DESC_100_WORDS,100-Wörter-Beschreibung
PRODUCT_DESC_25_WORDS,25-Wörter-Beschreibung
PRODUCT_DESC_50_WORDS,50-Wörter-Beschreibung
PRODUCT_DESC_AWARD,Auszeichnungen
PRODUCT_DESC_CORE_DIFF,Kaufanregung
PRODUCT_DESC_LANDINGPAGE,Marketing-Aktivitäten
PRODUCT_DESC_NEWS,Neuigkeiten
PRODUCT_DESC_PACKAGE_CONTENTS,Inhalt
PRODUCT_DESC_SALES_BENEFITS,Verkaufsargumente
PRODUCT_DESC_SAMPLE_AD_COPY,Musterwerbetext
PRODUCT_DESC_SHELF_CARD_COPY,Regalkarte
PRODUCT_EMBARGO_DATE,Sperrdatum
PRODUCT_FEATURES,Funktionen
PRODUCT_IMAGES,Bilder
PRODUCT_INFORMATION_TITLE,"Ähnliche Produkte"
PRODUCT_LAUNCH_DATE,"Tag der Produkteinführung"
PRODUCT_LOGISTIC_INFO,"Logistische Info"
PRODUCT_MODEL,Artikelnummer
PRODUCT_NAME,Produktname
PRODUCT_NAME_IN_SEARCH_AREA,"Produktname / Teilenummer eingeben"
PRODUCT_PART_NUMBER,Teilenummern
PRODUCT_QTY,Menge
PRODUCT_RELATED_PRODUCTS,"Ähnliche Artikel"
PRODUCT_REQUIRED_OFFER_PRICE,"Benötigter Angerbotspreis"
PRODUCT_REQUIREMENTS,"Produktbezeichnung / Anforderungen"
PRODUCT_TYPE,"Product type"
PRODUCT_TYPE_ALL,All
PRODUCT_TYPE_BUSINESS,"Business product"
PRODUCT_TYPE_RETAIL,"Retail product"
PRODUCT_TYPE_RETAIL_RECOMMENDED_FOR_BUSINESS,"Retail product recommended for business"
PRODUCT_UNIFYING,Unifying
PROFILE,Profil
QUICKLINKS_BUBBLE_TEXT,"Zur Merkliste hinzuzufügen"
QUICKLINKS_INFOS,"Um eine Seite zur Merkliste hinzuzufügen, klicken Sie auf ##IMAGE##"
QUICKLINKS_TITLE,Merkliste
RECOMMENDED_PRODUCTS,"Unsere Empfehlung"
RECOMMENDED_RETAIL_PRICE,UVP
REGISTER,Registrieren
REGISTRATION,Registrierung
REGISTRATION_CONFIRMATION,"Ihre Registrierungsanfrage wurde zur Genehmigung an Ihren regionalen Kundenbetreuer weitergeleitet"
REGISTRATION_LOGIN_EXIST,"Dieser Benutzername ist bereits vergeben"
REMEMBER_ME,"Angaben speichern"
REMOVE,Entfernen
REMOVED,Entfernt
REPEAT_PASSWORD,"Kennwort wiederholen"
REQUEST_FORM_COMMENT,Anmerkungen
REQUEST_FORM_SUCCESS,"Ihre Anfrage wurde gesendet"
REQUEST_HELP,Hilfe
REQUEST_SELECTED_ITEMS,"Ausgewählte Artikel anfordern"
RESET_LIST,"Einstellungen zurücksetzen"
RSS_FEED,"RSS Feed"
SAVE_MY_QUICKLINKS,"Merkliste speichern"
SEARCH,Suche
SEARCH_PRODUCTS_BY_FEATURE,"Produkte nach Funktionen durchsuchen"
SEARCH_PRODUCTS_BY_RETAIL_NAME_PART_NUMBER,"Produkte nach Handelsnamen /Teilenummern durchsuchen"
SEARCH_PRODUCTS_NO_FEATURE_AVAILABLE,"Keine Funktionen für die aktuelle Auswahl erhältlich"
SEARCH_PRODUCTS_PLEASE_SELECT_CAT,"Bitte wählen Sie eine Kategorie, um die Funktionen anzusehen"
SEE_MORE,Mehr
SELECT_YOUR_BUSINESS_PROFILE,"Wählen Sie Ihr Business-Profil"
SELECT_YOUR_POSITION,"Wählen Sie Ihre Position"
SEND_REQUEST,"Anfrage senden"
SETTINGS,Einstellungen
SHOW_ALL,"Alle ansehen"
SIZE,Grösse
SORT_LIST,"Sortiern nach"
STREET,Straße
SUBJECT_CONTACT_MAIL,Betreff
TECHNICAL_SPECIFICATIONS,"Technische Daten"
TENDER_DOCUMENTS_AVAILABLE,"Ausschreibungsunterlagen vorhanden"
TOP_PRODUCT,"TOP_PRODUCT - to be translated"
TYPE_OF_INFORMATION,Informationsarten
UPDATES,Updates
UPLOAD_VAT_CERTIFICATE,Gewerbeschein
UPLOAD_VAT_TEXT_EMAIL_REMINDER,"MY_DATA_TEXT_EMAIL_REMINDER - to be translated"
VAT_NUMBER,USt-Nummer
WANTED_TO_OFFER,"Gewünschtes Angebot bis"
WARRANTY,Garantie
YES,Ja
YOUR_COMMENT,Anmerkung
YOUR_E_MAIL_ADDRESS_LABEL,"Ihre E-Mail-Adresse"
YOUR_POSITION,"Ihre Position"
YOUR_POSITION_MARKETING,Marketing
YOUR_POSITION_OTHER,Sonstiges
YOUR_POSITION_OWNER,Eigentümer
YOUR_POSITION_SALES,Verkauf
YOUR_POSITION_SHOP_MANAGER,Shop-Manager
ZIP_CODE,PLZ
PRESS_ARTICLE_MEDIA_TV,TV
PRESS_RELEASES_TAB,Presseinformationen
PRICE,Preis
PRINT_PAGE,"Seite drucken"
PRODUCTS,Produkte
PRODUCT_ARCHIVED,"Dieses Produkt wurde dem Archiv hinzugefügt. Für weitere Informationen, bitte kontaktieren Sie uns"
PRODUCT_COLOR_COLLECTION,Farbekollection
PRODUCT_DATASHEETS_AND_CERTIFICATES,"Datenblätter und Zertifikate"
PRODUCT_DATA_SHEET,Datenblatt
PRODUCT_DESCRIPTION,Beschreibung
PRODUCT_DESC_100_WORDS,100-Wörter-Beschreibung
PRODUCT_DESC_25_WORDS,25-Wörter-Beschreibung
PRODUCT_DESC_50_WORDS,50-Wörter-Beschreibung
PRODUCT_DESC_AWARD,Auszeichnungen
PRODUCT_DESC_CORE_DIFF,Kaufanregung
PRODUCT_DESC_LANDINGPAGE,Marketing-Aktivitäten
PRODUCT_DESC_NEWS,Neuigkeiten
PRODUCT_DESC_PACKAGE_CONTENTS,Inhalt
PRODUCT_DESC_SALES_BENEFITS,Verkaufsargumente
PRODUCT_DESC_SAMPLE_AD_COPY,Musterwerbetext
PRODUCT_DESC_SHELF_CARD_COPY,Regalkarte
PRODUCT_EMBARGO_DATE,Sperrdatum
PRODUCT_FEATURES,Funktionen
PRODUCT_IMAGES,Bilder
PRODUCT_INFORMATION_TITLE,"Ähnliche Produkte"
PRODUCT_LAUNCH_DATE,"Tag der Produkteinführung"
PRODUCT_LOGISTIC_INFO,"Logistische Info"
PRODUCT_MODEL,Artikelnummer
PRODUCT_NAME,Produktname
PRODUCT_NAME_IN_SEARCH_AREA,"Produktname / Teilenummer eingeben"
PRODUCT_PART_NUMBER,Teilenummern
PRODUCT_QTY,Menge
PRODUCT_RELATED_PRODUCTS,"Ähnliche Artikel"
PRODUCT_REQUIRED_OFFER_PRICE,"Benötigter Angerbotspreis"
PRODUCT_REQUIREMENTS,"Produktbezeichnung / Anforderungen"
PRODUCT_TYPE,"Product type"
PRODUCT_TYPE_ALL,All
PRODUCT_TYPE_BUSINESS,"Business product"
PRODUCT_TYPE_RETAIL,"Retail product"
PRODUCT_TYPE_RETAIL_RECOMMENDED_FOR_BUSINESS,"Retail product recommended for business"
PRODUCT_UNIFYING,Unifying
PROFILE,Profil
QUICKLINKS_BUBBLE_TEXT,"Zur Merkliste hinzuzufügen"
QUICKLINKS_INFOS,"Um eine Seite zur Merkliste hinzuzufügen, klicken Sie auf ##IMAGE##"
QUICKLINKS_TITLE,Merkliste
RECOMMENDED_PRODUCTS,"Unsere Empfehlung"
RECOMMENDED_RETAIL_PRICE,UVP
REGISTER,Registrieren
REGISTRATION,Registrierung
REGISTRATION_CONFIRMATION,"Ihre Registrierungsanfrage wurde zur Genehmigung an Ihren regionalen Kundenbetreuer weitergeleitet"
REGISTRATION_LOGIN_EXIST,"Dieser Benutzername ist bereits vergeben"
REMEMBER_ME,"Angaben speichern"
REMOVE,Entfernen
REMOVED,Entfernt
REPEAT_PASSWORD,"Kennwort wiederholen"
REQUEST_FORM_COMMENT,Anmerkungen
REQUEST_FORM_SUCCESS,"Ihre Anfrage wurde gesendet"
REQUEST_HELP,Hilfe
REQUEST_SELECTED_ITEMS,"Ausgewählte Artikel anfordern"
RESET_LIST,"Einstellungen zurücksetzen"
RSS_FEED,"RSS Feed"
SAVE_MY_QUICKLINKS,"Merkliste speichern"
SEARCH,Suche
SEARCH_PRODUCTS_BY_FEATURE,"Produkte nach Funktionen durchsuchen"
SEARCH_PRODUCTS_BY_RETAIL_NAME_PART_NUMBER,"Produkte nach Handelsnamen /Teilenummern durchsuchen"
SEARCH_PRODUCTS_NO_FEATURE_AVAILABLE,"Keine Funktionen für die aktuelle Auswahl erhältlich"
SEARCH_PRODUCTS_PLEASE_SELECT_CAT,"Bitte wählen Sie eine Kategorie, um die Funktionen anzusehen"
SEE_MORE,Mehr
SELECT_YOUR_BUSINESS_PROFILE,"Wählen Sie Ihr Business-Profil"
SELECT_YOUR_POSITION,"Wählen Sie Ihre Position"
SEND_REQUEST,"Anfrage senden"
SETTINGS,Einstellungen
SHOW_ALL,"Alle ansehen"
SIZE,Grösse
SORT_LIST,"Sortiern nach"
STREET,Straße
SUBJECT_CONTACT_MAIL,Betreff
TECHNICAL_SPECIFICATIONS,"Technische Daten"
TENDER_DOCUMENTS_AVAILABLE,"Ausschreibungsunterlagen vorhanden"
TOP_PRODUCT,"TOP_PRODUCT - to be translated"
TYPE_OF_INFORMATION,Informationsarten
UPDATES,Updates
UPLOAD_VAT_CERTIFICATE,Gewerbeschein
UPLOAD_VAT_TEXT_EMAIL_REMINDER,"MY_DATA_TEXT_EMAIL_REMINDER - to be translated"
VAT_NUMBER,USt-Nummer
WANTED_TO_OFFER,"Gewünschtes Angebot bis"
WARRANTY,Garantie
YES,Ja
YOUR_COMMENT,Anmerkung
YOUR_E_MAIL_ADDRESS_LABEL,"Ihre E-Mail-Adresse"
YOUR_POSITION,"Ihre Position"
YOUR_POSITION_MARKETING,Marketing
YOUR_POSITION_OTHER,Sonstiges
YOUR_POSITION_OWNER,Eigentümer
YOUR_POSITION_SALES,Verkauf
YOUR_POSITION_SHOP_MANAGER,Shop-Manager
ZIP_CODE,PLZ
REGISTRATION_LOGIN_EXIST,"Dieser Benutzername ist bereits vergeben"
REMEMBER_ME,"Angaben speichern"
REMOVE,Entfernen
REMOVED,Entfernt
REPEAT_PASSWORD,"Kennwort wiederholen"
REQUEST_FORM_COMMENT,Anmerkungen
REQUEST_FORM_SUCCESS,"Ihre Anfrage wurde gesendet"
REQUEST_HELP,Hilfe
REQUEST_SELECTED_ITEMS,"Ausgewählte Artikel anfordern"
RESET_LIST,"Einstellungen zurücksetzen"
RSS_FEED,"RSS Feed"
SAVE_MY_QUICKLINKS,"Merkliste speichern"
SEARCH,Suche
SEARCH_PRODUCTS_BY_FEATURE,"Produkte nach Funktionen durchsuchen"
SEARCH_PRODUCTS_BY_RETAIL_NAME_PART_NUMBER,"Produkte nach Handelsnamen /Teilenummern durchsuchen"
SEARCH_PRODUCTS_NO_FEATURE_AVAILABLE,"Keine Funktionen für die aktuelle Auswahl erhältlich"
SEARCH_PRODUCTS_PLEASE_SELECT_CAT,"Bitte wählen Sie eine Kategorie, um die Funktionen anzusehen"
